OBJECTID,Property_Name,Address_1,City,Postal_Code,Property_GFA_M_Sq,Primary_Property_Type,Electricity_Use_Grid_Purchase_k,Natural_Gas_Use_GJ,Propane_Use_GJ,District_Hot_Water_Use_GJ,District_Chilled_Water_Use_GJ,Total_GHG_Emissions_Metric_Tons,Total_GHG_Emissions_Intensity_k,Direct_GHG_Emissions_Metric_Ton,Direct_GHG_Emissions_Intensity_,Indirect_GHG_Emissions_Metric_T,Indirect_GHG_Emissions_Intensit,Site_EUI_GJ_m_,Year_Ending
1187,Ancaster Aquatic Centre (P),47 MEADOWBROOK DRIVE,Ancaster,L9G 4S8,1771.4,Other - Recreation,313268.9,4096.3,Not Available,Not Available,Not Available,214.7,140.9,206.0,135.2,8.8,5.8,3.43,2020/12/31 00:00:00+00
1188,Ancaster Aquatic Centre (P),47 MEADOWBROOK DRIVE,Ancaster,L9G 4S8,1771.4,Other - Recreation,379669.9,3204.5,Not Available,Not Available,Not Available,171.7,112.7,161.1,105.7,10.6,7.0,3.0,2021/12/31 00:00:00+00
1189,Ancaster Aquatic Centre (P),47 MEADOWBROOK DRIVE,Ancaster,L9G 4S8,1771.4,Other - Recreation,338578.3,2882.6,Not Available,Not Available,Not Available,154.4,101.3,144.9,95.1,9.5,6.2,2.69,2022/12/31 00:00:00+00
1190,Ancaster Aquatic Centre (P),47 MEADOWBROOK DRIVE,Ancaster,L9G 4S8,1771.4,Other - Recreation,375783.0,2974.3,Not Available,Not Available,Not Available,160.1,105.0,149.5,98.1,10.5,6.9,2.84,2023/12/31 00:00:00+00
1191,Ancaster Old Firehall / Little Theatre,334 Wilson St E,Ancaster,L9G 2C2,461.8,Social/Meeting Hall,2806.1,Not Available,Not Available,Not Available,Not Available,0.1,0.2,0.0,0.0,0.1,0.2,0.02,2019/12/31 00:00:00+00
1192,Ancaster Old Firehall / Little Theatre,334 Wilson St E,Ancaster,L9G 2C2,461.8,Social/Meeting Hall,2557.0,Not Available,Not Available,Not Available,Not Available,0.1,0.2,0.0,0.0,0.1,0.2,0.02,2020/12/31 00:00:00+00
1193,Ancaster Old Firehall / Little Theatre,334 Wilson St E,Ancaster,L9G 2C2,461.8,Social/Meeting Hall,2550.0,Not Available,Not Available,Not Available,Not Available,0.1,0.2,0.0,0.0,0.1,0.2,0.02,2021/12/31 00:00:00+00
1194,Ancaster Old Firehall / Little Theatre,334 Wilson St E,Ancaster,L9G 2C2,461.8,Social/Meeting Hall,2549.6,Not Available,Not Available,Not Available,Not Available,0.1,0.2,0.0,0.0,0.1,0.2,0.02,2022/12/31 00:00:00+00
1195,Ancaster Old Firehall / Little Theatre,334 Wilson St E,Ancaster,L9G 2C2,461.8,Social/Meeting Hall,2543.0,Not Available,Not Available,Not Available,Not Available,0.1,0.2,0.0,0.0,0.1,0.2,0.02,2023/12/31 00:00:00+00
1196,Ancaster Old Town Hall,310 WILSON STREET EAST,Ancaster,L9G 2B9,311,Other - Entertainment/Public Assembly,38664.1,691.4,Not Available,Not Available,Not Available,35.9,115.4,34.8,111.8,1.1,3.6,2.67,2019/12/31 00:00:00+00
