X,Y,OBJECTID,POLLUTANT_NAME,CONCENTRATION,UNIT,START_DATE,END_DATE,LONGITUDE,LATITUDE,SE_ANNO_CAD_DATA
588562.2305,4790000.2801,1,NO2,5.45874368015153,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.908893,43.257608,
602806.9252,4785716.6192,2,NO2,4.16807327458212,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.73423282,43.21723593,
591297.3725,4790288.5994,3,NO2,9.67364837782269,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.87515391,43.25987737,
606513.1455,4786732.6795,4,NO2,7.37689857860934,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.68841696,43.22586897,
596637.4737,4787438.1588,6,NO2,6.04910198816334,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.80987352,43.23354973,
592302.1131,4790127.5198,7,NO2,8.63840593315701,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.86280419,43.2583048,
591136.0223,4790298.0297,8,NO2,9.12465606891977,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.87713992,43.2599818,
594055.5934,4789553.7594,9,NO2,11.2739438240463,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.84130292,43.25292254,
578848.2205,4805048.6215,10,NO2,1.69320676767335,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-80.0263923,43.39417123,
611166.7163,4786241.6496,11,NO2,5.08089804717774,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.63122837,43.22077739,
588364.4019,4790444.2895,12,NO2,8.21658921937872,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.91125863,43.26162866,
596790.4066,4789787.4268,13,NO2,7.94460378302559,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.807578,43.25468,
582590.7005,4805122.5212,14,NO2,3.04839976783195,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.98017651,43.39443383,
592006.3511,4790650.8167,15,NO2,10.4951203955375,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.86635997,43.26305216,
594137.9374,4791465.3851,16,NO2,9.52200329789532,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.83996196,43.2701223,
590229.6809,4788139.7643,17,NO2,3.8202614310429,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.888658,43.24066,
593471.5036,4786167.6492,18,NO2,5.0504186318716,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.84907103,43.2225104,
596637.4737,4787438.1588,19,NO2,6.1590836065706,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.80987352,43.23354973,
588526.2322,4797615.4809,20,NO2,5.0661792743312,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.90811047,43.32617183,
581617.4243,4792689.2126,21,NO2,3.44607721219648,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.99404246,43.28260126,
600410.7348,4787950.8191,22,NO2,8.71646262341345,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.76332148,43.23767219,
591861.1849,4789788.6021,23,NO2,9.13135067365543,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.86829206,43.25530742,
592006.3511,4790650.8167,24,NO2,11.0639961789286,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.86635997,43.26305216,
589077.5825,4799103.771,25,NO2,5.25208006734513,ppb,2022/02/07 05:00:00+00,2022/02/21 05:00:00+00,-79.9010697,43.33950565,
597443.3835,4789071.6293,26,NO2,8.69761384767427,ppb,2022/02/08 05:00:00+00,2022/02/21 05:00:00+00,-79.79966187,43.24815175,
597538.8541,4788492.8791,27,NO2,10.0254593489675,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.7985885,43.24292908,
594137.9374,4791465.3851,28,NO2,10.6055153336923,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.83996196,43.2701223,
594324.3433,4790506.8399,29,NO2,10.7335287144563,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.83782959,43.26146938,
591704.2428,4788810.6394,30,NO2,8.8853164458471,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.87038793,43.24652199,
597443.3835,4789071.6293,31,NO2,9.96120228184196,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.79966187,43.24815175,
596790.4066,4789787.4268,32,NO2,10.1902529546739,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.807578,43.25468,
597214.8438,4789953.299,33,NO2,13.7569706069909,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.80232094,43.25611868,
591885.6504,4790015.162,34,NO2,12.2485376524493,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.86795292,43.25734414,
595330.1831,4789811.1695,35,NO2,12.5010338930479,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.82555957,43.25507984,
592302.1131,4790127.5198,36,NO2,10.9010213393589,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.86280419,43.2583048,
593133.9734,4785665.3182,37,NO2,6.17979105429123,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.85331104,43.21802968,
592553.8335,4783842.3979,38,NO2,5.32738733049027,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.86075801,43.20168934,
598988.3868,4792138.5669,39,NO2,9.04659644741723,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.780083,43.275561,
590171.9124,4789500.9487,40,NO2,11.5594445462504,ppb,2022/03/02 05:00:00+00,2022/03/16 04:00:00+00,-79.8891467,43.25292166,
598382.4139,4788361.5488,41,NO2,8.29365635578438,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.78822386,43.24163717,
603797.2953,4786611.2985,42,NO2,6.25829282509174,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.721874,43.22515473,
593168.883,4783109.3179,43,NO2,5.9751307499118,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.85331248,43.19501381,
596877.504,4775284.6083,44,NO2,4.13824502320225,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.80904684,43.12410228,
590732.4682,4799786.0274,46,NO2,4.98303142181435,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.88054467,43.34544992,
568963.119,4788661.3186,47,NO2,2.60652136885014,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-80.1504964,43.24760065,
584031.7617,4791349.3392,48,NO2,6.64736324858025,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.96449437,43.27027259,
583975.5413,4786575.5789,49,NO2,4.72838704513552,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.96591446,43.22729961,
588562.2305,4790000.2801,50,NO2,7.70529121545701,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.908893,43.257608,
589524.8029,4786744.0887,51,NO2,5.99841874579871,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.89756482,43.22817867,
583975.5413,4786575.5789,52,NO2,5.58237999299152,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.96591446,43.22729961,
590229.6809,4788139.7643,53,NO2,6.58427490089713,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.888658,43.24066,
592369.1731,4787413.4187,54,NO2,7.17126875794046,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.86243298,43.23386174,
591159.6425,4786016.0985,55,NO2,6.65025024950566,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.87755694,43.22142881,
592732.0027,4787618.4994,56,NO2,7.63111034844081,ppb,2022/03/01 05:00:00+00,2022/03/15 04:00:00+00,-79.85793096,43.23566355,
590274.843,4790626.7199,57,NO2,10.5129502060692,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.88769441,43.26304464,
580296.2908,4783063.3573,58,NO2,4.18362850253929,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-80.01172522,43.19607817,
583415.8815,4786790.469,59,NO2,6.67685137471513,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.9727726,43.22929641,
583415.8815,4786790.469,60,NO2,3.89542851052309,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.9727726,43.22929641,
592200.9631,4791696.69,61,NO2,7.49168330158918,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.86378741,43.27244426,
589793.2126,4791612.66,62,NO2,5.03026032173148,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.89346685,43.27197859,
586519.7321,4791093.029,63,NO2,5.41572588082641,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.93388105,43.26768338,
585944.7946,4785557.4267,64,NO2,6.12329010763729,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.9418274,43.21791123,
588562.2305,4790000.2801,65,NO2,6.99531641624423,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-79.908893,43.257608,
578768.57,4805355.2316,66,NO2,2.03104399366293,ppb,2022/03/28 04:00:00+00,2022/04/11 04:00:00+00,-80.02733152,43.39694006,
600030.9575,4782822.5997,67,NO2,8.70133436540796,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.768927,43.191555,
588771.0824,4780863.588,68,NO2,5.63980512460625,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.90778963,43.17532481,
602139.6751,4786082.209,69,NO2,4.84205038866229,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.74237846,43.22061777,
600030.9575,4782822.5997,70,NO2,5.46956853308472,ppb,2022/03/29 04:00:00+00,2022/04/12 04:00:00+00,-79.768927,43.191555,
